25 25
0 0 5.32196
0 1 5.32196
0 2 5.49176
0 3 3.72588
0 4 3.82353
0 5 5.47294
0 6 4.51961
0 7 4.79922
0 8 3.29255
0 9 4.37137
0 10 4.24549
0 11 5.66824
0 12 3.33529
0 13 5.14235
0 14 5.06549
0 15 4.67294
0 16 4.52824
0 17 5.21333
0 18 4.82863
0 19 3.63137
0 20 3.5898
0 21 4.45961
0 22 5.80588
0 23 4.74275
0 24 2.95647
1 0 5.32196
1 1 5.32196
1 2 5.49176
1 3 3.72588
1 4 3.82353
1 5 5.47294
1 6 4.51961
1 7 4.79922
1 8 3.29255
1 9 4.37137
1 10 4.24549
1 11 5.66824
1 12 3.33529
1 13 5.14235
1 14 5.06549
1 15 4.67294
1 16 4.52824
1 17 5.21333
1 18 4.82863
1 19 3.63137
1 20 3.5898
1 21 4.45961
1 22 5.80588
1 23 4.74275
1 24 2.95647
2 0 6.21373
2 1 6.21373
2 2 5.87961
2 3 5.38902
2 4 4.84431
2 5 4.91725
2 6 4.87647
2 7 5.09412
2 8 6.16627
2 9 6.04471
2 10 5.81294
2 11 5.79373
2 12 4.93137
2 13 4.63765
2 14 5.0298
2 15 4.77725
2 16 5.09373
2 17 5.00941
2 18 4.69843
2 19 5.16627
2 20 5.39961
2 21 5.64
2 22 4.16549
2 23 5.43176
2 24 5.87255
3 0 2.54353
3 1 2.54353
3 2 2.68353
3 3 3.75647
3 4 2.47804
3 5 2.1149
3 6 2.35686
3 7 2.23725
3 8 2.31922
3 9 2.78275
3 10 3.44863
3 11 2.88863
3 12 3.51451
3 13 3.02941
3 14 2.9102
3 15 2.98157
3 16 2.72275
3 17 3.60275
3 18 3.6451
3 19 2.79843
3 20 2.34157
3 21 1.99333
3 22 1.95843
3 23 2.52588
3 24 2.73333
4 0 5.1051
4 1 5.1051
4 2 5.09922
4 3 4.91373
4 4 4.26
4 5 5.35451
4 6 4.45373
4 7 4.94353
4 8 5.33804
4 9 4.19922
4 10 4.40275
4 11 5.72745
4 12 4.24627
4 13 4.91686
4 14 3.72275
4 15 5.89882
4 16 5.67765
4 17 5.74196
4 18 5.93059
4 19 3.13922
4 20 4.11725
4 21 5.02824
4 22 4.55216
4 23 5.15255
4 24 3.54667
5 0 5.31608
5 1 5.31608
5 2 5.11451
5 3 4.42863
5 4 4.04941
5 5 5.20863
5 6 4.44118
5 7 4.31451
5 8 4.54314
5 9 3.88118
5 10 2.98941
5 11 3.29922
5 12 4.73922
5 13 4.59255
5 14 5.04667
5 15 5.4149
5 16 5.64235
5 17 5.63373
5 18 4.44588
5 19 3.94157
5 20 4.69882
5 21 5.38471
5 22 5.47686
5 23 4.85373
5 24 2.95647
6 0 3.18471
6 1 3.18471
6 2 4.48667
6 3 5.20549
6 4 4.58431
6 5 5.43804
6 6 2.90118
6 7 3.14078
6 8 3.96784
6 9 5.11294
6 10 4.84118
6 11 3.0549
6 12 3.31451
6 13 3.09725
6 14 3.63843
6 15 3.30353
6 16 2.43412
6 17 3.18471
6 18 3.00392
6 19 3.38353
6 20 2.24706
6 21 2.70118
6 22 3.42235
6 23 3.30667
6 24 1.89804
7 0 5.54039
7 1 5.54039
7 2 5.60902
7 3 4.80118
7 4 3.63922
7 5 6.3749
7 6 5.33294
7 7 5.20667
7 8 5.44588
7 9 6.30824
7 10 5.1898
7 11 4.26902
7 12 5.77294
7 13 5.30902
7 14 5.67765
7 15 4.4902
7 16 5.76118
7 17 5.45804
7 18 4.73686
7 19 5.31098
7 20 6.24196
7 21 4.76549
7 22 5.58784
7 23 4.74118
7 24 2.74745
