25 25
0 0 5.22784
0 1 5.22784
0 2 6.74157
0 3 5.32235
0 4 6.28392
0 5 6.22784
0 6 5.39882
0 7 4.69843
0 8 6.40392
0 9 4.88902
0 10 5.02431
0 11 5.40588
0 12 6.00431
0 13 5.83098
0 14 6.57098
0 15 6.32
0 16 5.46196
0 17 6.3749
0 18 5.51804
0 19 5.99373
0 20 6.3051
0 21 5.24706
0 22 6.15922
0 23 6.26667
0 24 6.43843
1 0 5.22784
1 1 5.22784
1 2 6.74157
1 3 5.32235
1 4 6.28392
1 5 6.22784
1 6 5.39882
1 7 4.69843
1 8 6.40392
1 9 4.88902
1 10 5.02431
1 11 5.40588
1 12 6.00431
1 13 5.83098
1 14 6.57098
1 15 6.32
1 16 5.46196
1 17 6.3749
1 18 5.51804
1 19 5.99373
1 20 6.3051
1 21 5.24706
1 22 6.15922
1 23 6.26667
1 24 6.43843
2 0 6.02706
2 1 6.02706
2 2 4.43725
2 3 5.48706
2 4 6.73529
2 5 6.53216
2 6 6.02784
2 7 4.7549
2 8 5.0949
2 9 5.35725
2 10 6.2498
2 11 5.8102
2 12 5.10706
2 13 4.59059
2 14 6.95451
2 15 6.07647
2 16 5.14078
2 17 5.04706
2 18 5.42745
2 19 6.08549
2 20 5.55216
2 21 6.25922
2 22 6.28196
2 23 6.50275
2 24 6.23608
3 0 4.05569
3 1 4.05569
3 2 5.20353
3 3 4.54431
3 4 4.2851
3 5 4.06627
3 6 3.31686
3 7 4.98078
3 8 5.68275
3 9 4.41569
3 10 4.93843
3 11 5.31569
3 12 4.64078
3 13 4.49294
3 14 5.91804
3 15 4.43373
3 16 5.29804
3 17 5.30039
3 18 4.55647
3 19 4.69059
3 20 5.44196
3 21 5.43176
3 22 5.49176
3 23 3.93294
3 24 3.36627
4 0 6.04196
4 1 6.04196
4 2 6.82392
4 3 7.73176
4 4 5.89412
4 5 4.24392
4 6 5.35608
4 7 5.94863
4 8 5.83922
4 9 5.98745
4 10 5.07686
4 11 6.52235
4 12 5.50275
4 13 7.32745
4 14 5.22745
4 15 5.91059
4 16 6.11843
4 17 5.71882
4 18 6.25686
4 19 4.75569
4 20 6.81176
4 21 5.48
4 22 3.42902
4 23 6.03176
4 24 5.8949
5 0 5.28078
5 1 5.28078
5 2 5.38863
5 3 5.1698
5 4 6.03725
5 5 6.38392
5 6 5.91255
5 7 5.89686
5 8 5.5949
5 9 5.53216
5 10 5.55882
5 11 5.53961
5 12 6.51843
5 13 6.66196
5 14 5.43412
5 15 5.04941
5 16 4.96784
5 17 4.46627
5 18 3.81922
5 19 3.84784
5 20 4.76784
5 21 5.00471
5 22 6.52667
5 23 6.31529
5 24 4.84353
6 0 5.3749
6 1 5.3749
6 2 4.46863
6 3 5.03333
6 4 5.3349
6 5 4.62627
6 6 4.18745
6 7 4.50824
6 8 4.52863
6 9 5.00314
6 10 4.5949
6 11 3.65765
6 12 3.9149
6 13 4.12745
6 14 4.84902
6 15 5.15529
6 16 5.19843
6 17 4.51176
6 18 3.77255
6 19 4.6349
6 20 4.41765
6 21 3.35961
6 22 3.89373
6 23 4.00314
6 24 1.91569
7 0 5.76588
7 1 5.76588
7 2 5.94118
7 3 4.83255
7 4 4.84078
7 5 5.48196
7 6 4.70745
7 7 5.36235
7 8 6.20667
7 9 4.58784
7 10 4.58706
7 11 5.3149
7 12 6.75137
7 13 6.28745
7 14 4.95804
7 15 4.68863
7 16 4.93843
7 17 5.76353
7 18 5.21882
7 19 5.88039
7 20 6.27216
7 21 5.08235
7 22 6.2502
7 23 6.59529
7 24 5.28745
8 0 5.76275
8 1 5.76275
8 2 5.64431
8 3 5.74196
8 4 6.36078
8 5 6.02392
8 6 5.63961
8 7 3.38863
8 8 3.70392
8 9 6.04667
8 10 6.37882
8 11 5.72
8 12 5.29608
8 13 6.33373
8 14 6.28784
8 15 5.62706
8 16 6.14941
8 17 6.05608
8 18 5.88
8 19 5.5451
8 20 6.1498
8 21 6.91216
8 22 6.95176
8 23 5.3
8 24 5.54431
9 0 3.94
9 1 3.94
9 2 4.8702
9 3 4.96706
9 4 4.75451
9 5 3.17529
9 6 4.22902
9 7 3.74627
9 8 4.74235
9 9 5.41098
9 10 5.08667
9 11 4.31216
9 12 4.08941
9 13 3.67843
9 14 4.96471
9 15 4.68588
9 16 4.29255
9 17 4.24235
9 18 3.00902
9 19 5.43686
9 20 6.41725
9 21 6.33804
9 22 5.67373
9 23 2.12
9 24 6.73922
10 0 6.42941
10 1 6.42941
10 2 6.78863
10 3 6.91333
