25 25
0 0 5.5149
0 1 5.5149
0 2 5.73412
0 3 5.54235
0 4 5.62078
0 5 6.03059
0 6 5.5498
0 7 5.81569
0 8 5.8898
0 9 6.12824
0 10 6.57137
0 11 6.32431
0 12 5.65137
0 13 6.85686
0 14 6.44196
0 15 5.68235
0 16 5.05294
0 17 5.94902
0 18 6.81804
0 19 6.45765
0 20 5.64824
0 21 5.40549
0 22 5.83137
0 23 6.41137
0 24 6.01176
1 0 5.5149
1 1 5.5149
1 2 5.73412
1 3 5.54235
1 4 5.62078
1 5 6.03059
1 6 5.5498
1 7 5.81569
1 8 5.8898
1 9 6.12824
1 10 6.57137
1 11 6.32431
1 12 5.65137
1 13 6.85686
1 14 6.44196
1 15 5.68235
1 16 5.05294
1 17 5.94902
1 18 6.81804
1 19 6.45765
1 20 5.64824
1 21 5.40549
1 22 5.83137
1 23 6.41137
1 24 6.01176
2 0 6.03922
2 1 6.03922
2 2 5.54549
2 3 5.65098
2 4 5.93765
2 5 5.90235
2 6 6.18863
2 7 6.06588
2 8 6.05373
2 9 6.59137
2 10 6.38353
2 11 5.6702
2 12 6.70667
2 13 6.67843
2 14 6.32275
2 15 5.52078
2 16 6.09843
2 17 6.74039
2 18 6.23059
2 19 5.68706
2 20 6.02314
2 21 6.35882
2 22 5.95608
2 23 5.7302
2 24 6.05882
3 0 3.8149
3 1 3.8149
3 2 4.16824
3 3 4.48471
3 4 4.91373
3 5 4.69922
3 6 4.10275
3 7 4.51686
3 8 4.64745
3 9 4.02824
3 10 4.24353
3 11 5.06235
3 12 4.86353
3 13 4.19451
3 14 4.04314
3 15 5.02235
3 16 4.46471
3 17 4.18471
3 18 4.53412
3 19 4.47725
3 20 4.10431
3 21 4.32627
3 22 4.92706
3 23 4.85922
3 24 3.99176
4 0 5.74196
4 1 5.74196
4 2 6.15255
4 3 6.75882
4 4 6.57882
4 5 5.8349
4 6 6.14078
4 7 6.08588
4 8 5.96824
4 9 5.15882
4 10 6.82941
4 11 6.83373
4 12 6.31529
4 13 5.32314
4 14 6.76275
4 15 6.30039
4 16 5.93333
4 17 6.71647
4 18 6.11647
4 19 5.59333
4 20 6.64196
4 21 6.72392
4 22 6.00667
4 23 4.88118
4 24 5.35804
5 0 5.98039
5 1 5.98039
5 2 6.66941
5 3 6.32431
5 4 6.13686
5 5 6.27176
5 6 6.09098
5 7 5.66706
5 8 5.58471
5 9 6.45569
5 10 6.7498
5 11 6.39412
5 12 5.77451
5 13 6.19294
5 14 6.50902
5 15 6.03059
5 16 6.62392
5 17 6.09412
5 18 5.96941
5 19 6.31882
5 20 6.31686
5 21 5.83765
5 22 6.12941
5 23 6.42667
5 24 5.45373
6 0 4.32235
6 1 4.32235
6 2 4.47294
6 3 4.73922
6 4 4.55961
6 5 4.22235
6 6 4.16039
6 7 4.14863
6 8 5.05255
6 9 4.96392
6 10 4.32667
6 11 3.97765
6 12 5.02235
6 13 4.19255
6 14 4.57647
6 15 4.8451
6 16 4.51882
6 17 4.56745
6 18 4.47569
6 19 4.04078
6 20 4.28824
6 21 4.79059
6 22 4.32549
6 23 3.91529
6 24 1.74667
7 0 6.52431
7 1 6.52431
7 2 6.50392
7 3 6.23804
7 4 5.66745
7 5 5.80824
7 6 6.10157
7 7 6.77843
7 8 6.6451
7 9 5.8
7 10 5.66314
7 11 6.65686
7 12 5.96824
7 13 5.63255
7 14 6.90784
7 15 6.58235
7 16 6.29333
7 17 5.94471
7 18 5.50314
7 19 6.02
7 20 6.57882
7 21 5.81804
7 22 5.85059
7 23 6.69294
7 24 2.75412
8 0 6.42431
8 1 6.42431
8 2 6.05569
8 3 6.09882
8 4 6.33765
8 5 6.68392
8 6 6.71882
8 7 6.22353
8 8 5.92431
8 9 6.11765
8 10 6.09843
8 11 5.49451
8 12 5.81216
8 13 6.70314
8 14 6.44784
8 15 5.88627
8 16 6.02
8 17 6.41255
8 18 6.61255
8 19 6.46157
8 20 5.88431
8 21 6.0502
8 22 6.44745
8 23 4.92196
8 24 6.2702
9 0 4.25333
9 1 4.25333
9 2 4.92588
9 3 4.8651
9 4 4.94078
9 5 4.33373
9 6 4.19059
9 7 4.65804
9 8 4.18275
9 9 3.82118
9 10 4.32941
9 11 4.85725
9 12 4.8651
9 13 4.33686
9 14 4.37255
9 15 5.18745
9 16 4.88824
9 17 4.31059
9 18 4.02039
9 19 4.04392
9 20 4.81843
9 21 4.07333
9 22 3.55647
9 23 1.81137
9 24 6.58392
10 0 6.79451
10 1 6.79451
10 2 6.64118
10 3 6.09373
10 4 5.98431
10 5 6.52431
10 6 6.57098
10 7 5.45961
10 8 5.62078
10 9 6.68549
10 10 6.91216
10 11 6.70784
10 12 6.26941
10 13 6.10471
10 14 6.87294
10 15 6.50471
10 16 5.47569
10 17 5.47255
10 18 6.3949
10 19 6.71216
10 20 5.90157
10 21 5.04118
10 22 5.99569
10 23 3.55765
10 24 4.37059
11 0 6.13137
11 1 6.13137
11 2 5.85686
11 3 6.47098
11 4 6.71882
11 5 6.33059
11 6 5.77294
11 7 5.96118
11 8 6.80078
11 9 6.80471
11 10 6.7451
11 11 6.63059
11 12 6.42431
11 13 6.54196
11 14 5.99216
11 15 5.36902
11 16 5.76549
11 17 6.63176
11 18 6.48588
11 19 5.82706
11 20 5.31843
11 21 5.90196
11 22 5.78745
11 23 5.87843
11 24 6.5702
12 0 4.79922
12 1 4.79922
12 2 4.87098
12 3 4.68039
12 4 4.42157
12 5 3.90235
12 6 4.79255
12 7 4.84196
12 8 4.77922
12 9 4.60039
12 10 4.37804
12 11 4.25333
12 12 4.32471
12 13 3.61412
12 14 3.91804
12 15 4.97137
12 16 4.60706
12 17 3.81608
12 18 3.89451
12 19 4.55647
12 20 5.09686
12 21 4.44431
12 22 1.85098
12 23 6.28196
12 24 5.84941
13 0 6.47333
13 1 6.47333
13 2 6.39922
13 3 6.3949
13 4 5.38549
13 5 6.60196
13 6 6.38706
13 7 5.68667
13 8 5.63961
13 9 5.50745
13 10 5.42902
13 11 5.50314
13 12 5.3898
13 13 6.14078
13 14 6.88078
13 15 5.87843
13 16 5.24471
13 17 6.62627
13 18 6.91961
13 19 6.71529
13 20 6.33529
13 21 5.99176
13 22 3.88392
13 23 5.11843
13 24 5.06431
14 0 6.30588
14 1 6.30588
14 2 6.01216
14 3 6.15686
14 4 6.60784
14 5 6.39843
14 6 5.94157
14 7 6.71059
14 8 6.99373
